epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.031,3.83214,26.1121,0.72198,0.00051,0.15447,0.00038,0.0001,3.88881,12.1111,0.69443,0.000655914,0.000655914,0.000655914
2,423.228,3.93951,10.9021,0.6892,0.54493,0.22764,0.24088,0.06694,3.52097,8.4508,0.70234,0.00129639,0.00129639,0.00129639
3,634.427,3.86386,7.76343,0.68921,0.6467,0.26016,0.27933,0.07392,3.46116,4.80047,0.6924,0.00191047,0.00191047,0.00191047
4,842.795,3.78168,5.38268,0.67347,0.50047,0.34146,0.26304,0.04985,3.52822,3.827,0.68598,0.0018812,0.0018812,0.0018812
5,1051.53,3.55989,3.85471,0.67158,0.38186,0.27642,0.19023,0.04546,3.60196,3.39722,0.67004,0.0018416,0.0018416,0.0018416
6,1261.19,3.57985,3.02523,0.66061,0.6932,0.44715,0.40646,0.14426,3.05964,2.22259,0.67581,0.001802,0.001802,0.001802
7,1470.38,3.39437,2.48383,0.66618,0.5903,0.41463,0.40867,0.1152,3.2365,2.02029,0.67879,0.0017624,0.0017624,0.0017624
8,1678.37,3.39036,2.17426,0.66107,0.7479,0.39837,0.42961,0.13549,3.15901,1.79803,0.67592,0.0017228,0.0017228,0.0017228
9,1888.41,3.36724,2.07218,0.65313,0.65757,0.36585,0.37853,0.12709,3.2831,1.8587,0.68841,0.0016832,0.0016832,0.0016832
10,2097.13,3.23949,1.9079,0.65057,0.73127,0.49593,0.52728,0.19762,2.94911,1.57777,0.6651,0.0016436,0.0016436,0.0016436
11,2307.55,3.23833,1.75253,0.64782,0.85106,0.46341,0.54306,0.20441,2.83572,1.5969,0.66232,0.001604,0.001604,0.001604
12,2520.69,3.25677,1.68683,0.64523,0.88182,0.46341,0.53614,0.18453,2.95455,1.36606,0.66587,0.0015644,0.0015644,0.0015644
13,2729.3,3.27976,1.62552,0.64514,0.79701,0.51075,0.51483,0.16577,3.16233,1.51983,0.67251,0.0015248,0.0015248,0.0015248
14,2951.65,3.24437,1.57357,0.65153,0.80364,0.47154,0.54525,0.18903,3.05583,1.47193,0.6644,0.0014852,0.0014852,0.0014852
15,3171.95,3.17157,1.53749,0.64322,0.86848,0.49593,0.58699,0.18862,2.94072,1.46525,0.66461,0.0014456,0.0014456,0.0014456
16,3380.62,3.23339,1.47481,0.64053,0.81046,0.48671,0.54438,0.19858,2.94388,1.32607,0.66202,0.001406,0.001406,0.001406
17,3588.99,3.15149,1.47981,0.64209,0.8607,0.52033,0.58877,0.18784,3.07918,1.44513,0.66307,0.0013664,0.0013664,0.0013664
18,3803.6,3.07797,1.42306,0.64579,0.88472,0.49593,0.58744,0.21125,2.88764,1.28542,0.66148,0.0013268,0.0013268,0.0013268
19,4012.67,3.12456,1.47327,0.63622,0.84549,0.53659,0.60739,0.24705,2.73927,1.30128,0.65824,0.0012872,0.0012872,0.0012872
20,4241.5,3.06816,1.44349,0.63936,0.88097,0.52033,0.58865,0.21811,2.93174,1.36898,0.66052,0.0012476,0.0012476,0.0012476
21,4452.37,3.04434,1.33931,0.63987,0.90348,0.53659,0.61991,0.24388,2.86292,1.27178,0.65525,0.001208,0.001208,0.001208
22,4660.86,2.97512,1.30476,0.64155,0.83584,0.50407,0.60097,0.23994,2.77974,1.24488,0.65561,0.0011684,0.0011684,0.0011684
23,4868.48,3.03381,1.28116,0.63951,0.87348,0.5122,0.60068,0.24531,2.75598,1.23589,0.65347,0.0011288,0.0011288,0.0011288
24,5077.51,2.98843,1.29083,0.64097,0.81936,0.55315,0.60671,0.25274,2.73356,1.16353,0.65896,0.0010892,0.0010892,0.0010892
25,5289.07,2.97744,1.27095,0.63749,0.89909,0.52846,0.61805,0.26473,2.64091,1.25585,0.66219,0.0010496,0.0010496,0.0010496
26,5496.97,3.01772,1.263,0.63767,0.85577,0.52033,0.59295,0.24819,2.7516,1.23114,0.66003,0.00101,0.00101,0.00101
27,5708.67,2.99037,1.25507,0.63043,0.89275,0.54141,0.62477,0.27541,2.65698,1.14019,0.65772,0.0009704,0.0009704,0.0009704
28,5919.73,3.03891,1.27709,0.63191,0.86709,0.53042,0.61075,0.26294,2.73322,1.14534,0.65823,0.0009308,0.0009308,0.0009308
